module,tool_name,used_by_demo,used_by_antibody_pipeline,used_by_registry,requires_external_dependency,recommendation
biochat.tool.antibody_design,design_vh_only_antibodies,True,True,False,torch;ImmuneBuilder,keep_minimal
biochat.tool.antibody_design,score_and_rank_candidates,True,True,False,torch;ImmuneBuilder,keep_minimal
biochat.tool.biochemistry,analyze_circular_dichroism_spectra,False,False,False,Bio;matplotlib,optional_full_profile
biochat.tool.biochemistry,analyze_enzyme_kinetics_assay,False,False,False,Bio;matplotlib,optional_full_profile
biochat.tool.biochemistry,analyze_itc_binding_thermodynamics,False,False,False,Bio;matplotlib,optional_full_profile
biochat.tool.biochemistry,analyze_protease_kinetics,False,False,False,Bio;matplotlib,optional_full_profile
biochat.tool.biochemistry,analyze_protein_conservation,False,False,False,Bio;matplotlib,optional_full_profile
biochat.tool.biochemistry,analyze_rna_secondary_structure_features,False,False,False,Bio;matplotlib,optional_full_profile
biochat.tool.bioengineering,analyze_calcium_imaging_data,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioengineering,analyze_cell_migration_metrics,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioengineering,analyze_in_vitro_drug_release_kinetics,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioengineering,analyze_myofiber_morphology,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioengineering,decode_behavior_from_neural_trajectories,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioengineering,perform_crispr_cas9_genome_editing,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioengineering,simulate_whole_cell_ode_model,False,False,False,matplotlib,optional_full_profile
biochat.tool.bioimaging,batch_register_images,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,calculate_similarity_metrics,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,create_registration_visualization,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,create_segmentation_visualization,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,prepare_input_for_nnunet,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,quick_affine_registration,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,quick_deformable_registration,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,quick_rigid_registration,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,segment_with_nn_unet,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.bioimaging,split_modalities,False,False,False,torch;matplotlib,optional_full_profile
biochat.tool.biophysics,analyze_cell_morphology_and_cytoskeleton,False,False,False,,optional_full_profile
